datetime,total,total_tcp,total_http,total_udp,size,size_tcp,size_http,size_udp
1331901300,15769,3361,9316,3092,9587,3743,3214,2630
1331901600,17375,3506,8374,5495,12004,5198,4925,1881
1331901900,17282,8002,6580,2700,17510,152,9859,7499
1331902200,19928,9734,3700,6494,14712,4840,1963,7909
1331902500,15027,2735,3497,8795,17783,9049,3,8731
1331902800,9613,2175,2503,4935,23887,9406,8698,5783
1331903100,15831,1844,5455,8532,6252,3717,309,2226
1331903400,1077,368,246,463,18338,4927,5122,8289
1331903700,18272,8541,3075,6656,10343,1353,4093,4897
1331904000,13835,7580,1997,4258,22360,4079,8578,9703
1331904300,21156,4248,8471,8437,17150,9279,6785,1086
1331904600,19342,1787,8316,9239,5389,3245,322,1822
1331904900,16159,6220,2944,6995,15969,5406,2881,7682
1331905200,8822,690,7927,205,10098,3618,4894,1586
1331905500,12106,990,6905,4211,19902,6631,6821,6450
1331905800,20243,4650,6785,8808,4960,28,2134,2798
1331906100,22768,9469,7641,5658,17295,428,6885,9982
1331906400,16627,2542,7178,6907,18707,6872,6930,4905
1331906700,9948,8161,1129,658,14462,6226,794,7442
1331907000,17724,8030,3927,5767,9785,1732,6128,1925
1331907300,23148,9040,5621,8487,25915,8090,7953,9872
1331907600,11006,380,1017,9609,15917,4769,1288,9860
1331907900,12467,6565,179,5723,14776,5682,7222,1872
1331908200,17638,8832,5419,3387,12395,3060,776,8559
1331908500,5891,1078,3563,1250,11313,1173,3730,6410
1331908800,15961,3451,9118,3392,20463,4437,9777,6249
1331909100,15964,3235,7250,5479,13117,1769,7448,3900
1331909400,21138,9787,4131,7220,16214,7724,3265,5225
1331909700,20313,3062,7301,9950,7826,3815,3003,1008
1331910000,16238,9067,4919,2252,16164,4365,7972,3827
1331910300,25274,8760,7528,8986,6319,2930,777,2612
1331910600,17555,9486,2135,5934,19380,6516,8898,3966
1331910900,14441,9041,5311,89,18877,2515,9765,6597
1331911200,16253,6891,4198,5164,20587,5311,8575,6701
1331911500,3626,1181,1261,1184,9927,4757,1513,3657
1331911800,20412,8500,5372,6540,12732,7269,4506,957
1331912100,17808,776,7382,9650,9936,3789,3357,2790
1331912400,4603,208,1185,3210,12022,1273,806,9943
1331912700,18953,4289,9084,5580,15455,3892,7381,4182
1331913000,24729,6909,9559,8261,13757,1720,6057,5980
1331913300,15468,575,8113,6780,20092,6586,6608,6898
1331913600,15662,1881,6543,7238,14948,9866,2958,2124
